BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
638	1.11107	1.10901	0.000770978
639	1.11604	1.10902	0.00076985
640	1.11466	1.10903	0.000768697
641	1.10443	1.10902	0.000767532
642	1.11876	1.10904	0.000766486
643	1.09698	1.10902	0.000765523
644	1.09152	1.10899	0.000764816
645	1.10049	1.10898	0.000763744
646	1.05651	1.1089	0.000766869
647	1.10894	1.1089	0.000765684
648	1.14607	1.10895	0.000766648
649	1.13387	1.10899	0.000766428
650	1.11203	1.109	0.000765263
651	1.1314	1.10903	0.000764861
652	1.09534	1.10901	0.000763976
653	1.10248	1.109	0.000762871
654	1.11723	1.10901	0.000761808
655	1.10529	1.10901	0.000760667
656	1.13229	1.10904	0.000760334
657	1.09973	1.10903	0.000759309
658	1.05756	1.10895	0.000762174
659	1.13111	1.10899	0.000761759
660	1.15289	1.10905	0.000763504
661	1.09217	1.10903	0.000762776
662	1.12541	1.10905	0.000762025
663	1.0899	1.10902	0.000761423
664	1.11165	1.10903	0.000760287
665	1.11303	1.10903	0.000759167
666	1.10572	1.10903	0.000758044
667	1.10354	1.10902	0.000756952
668	1.08929	1.10899	0.000756394
669	1.12569	1.10901	0.000755675
670	1.10395	1.10901	0.000754585
671	1.12627	1.10903	0.000753899
672	1.09499	1.10901	0.000753067
673	1.15234	1.10908	0.000754694
674	1.11635	1.10909	0.000753652
675	1.07673	1.10904	0.000754058
676	1.09572	1.10902	0.0007532
677	1.12923	1.10905	0.000752679
678	1.10237	1.10904	0.000751633
679	1.06972	1.10898	0.000752754
680	1.12898	1.10901	0.000752221
681	1.12173	1.10903	0.000751349
682	1.10536	1.10902	0.000750266
683	1.10359	1.10902	0.00074921
684	1.11024	1.10902	0.000748117
685	1.11022	1.10902	0.000747027
686	1.14023	1.10906	0.000747322
687	1.13748	1.10911	0.000747378
688	1.0981	1.10909	0.000746462
689	1.12364	1.10911	0.000745678
690	1.13169	1.10914	0.000745315
691	1.10306	1.10914	0.000744288
692	1.08673	1.1091	0.000743917
693	1.12398	1.10912	0.000743153
