BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
475	-7.53624	-7.54674	0.000580427
476	-7.53686	-7.54672	0.000579579
477	-7.54565	-7.54672	0.000578368
478	-7.53825	-7.5467	0.00057743
479	-7.56261	-7.54674	0.000577178
480	-7.54486	-7.54673	0.000575989
481	-7.52568	-7.54669	0.000576452
482	-7.54082	-7.54668	0.000575385
483	-7.57171	-7.54673	0.000576524
484	-7.55338	-7.54674	0.000575497
485	-7.54523	-7.54674	0.000574318
486	-7.54875	-7.54674	0.000573152
487	-7.54737	-7.54675	0.000571976
488	-7.53766	-7.54673	0.000571107
489	-7.53715	-7.54671	0.000570275
490	-7.54564	-7.5467	0.000569115
491	-7.53172	-7.54667	0.000568773
492	-7.54109	-7.54666	0.000567731
493	-7.54325	-7.54666	0.000566621
494	-7.56142	-7.54669	0.000566262
495	-7.54907	-7.54669	0.000565138
496	-7.53264	-7.54666	0.000564709
497	-7.55328	-7.54668	0.000563729
498	-7.55609	-7.54669	0.000562914
499	-7.54525	-7.54669	0.000561793
500	-7.54665	-7.54669	0.00056067
501	-7.53558	-7.54667	0.000559989
502	-7.52292	-7.54662	0.000560868
503	-7.54748	-7.54662	0.000559756
504	-7.55973	-7.54665	0.000559249
505	-7.52271	-7.5466	0.000560148
506	-7.55093	-7.54661	0.000559106
507	-7.56473	-7.54665	0.000559144
508	-7.5573	-7.54667	0.000558437
509	-7.54617	-7.54667	0.00055734
510	-7.53876	-7.54665	0.000556463
511	-7.54529	-7.54665	0.000555381
512	-7.55336	-7.54666	0.000554451
513	-7.54026	-7.54665	0.00055351
514	-7.53298	-7.54662	0.000553072
515	-7.54937	-7.54663	0.000552024
516	-7.53962	-7.54661	0.000551121
517	-7.53209	-7.54659	0.000550771
518	-7.55725	-7.54661	0.000550092
519	-7.53727	-7.54659	0.000549326
520	-7.53283	-7.54656	0.000548907
521	-7.55655	-7.54658	0.000548188
522	-7.54957	-7.54659	0.000547167
523	-7.53503	-7.54657	0.000546567
524	-7.53261	-7.54654	0.000546172
525	-7.57264	-7.54659	0.000547391
526	-7.55337	-7.5466	0.000546502
527	-7.54595	-7.5466	0.000545466
528	-7.55894	-7.54662	0.000544933
529	-7.56196	-7.54665	0.000544674
530	-7.56508	-7.54669	0.000544755
531	-7.55636	-7.54671	0.000544034
532	-7.54762	-7.54671	0.000543014
533	-7.54181	-7.5467	0.000542073
534	-7.53382	-7.54667	0.000541594
535	-7.54395	-7.54667	0.000540605
536	-7.56696	-7.54671	0.000540921
537	-7.55978	-7.54673	0.000540461
538	-7.55859	-7.54675	0.000539906
539	-7.53435	-7.54673	0.000539394
540	-7.5509	-7.54674	0.000538451
541	-7.54374	-7.54673	0.000537484
542	-7.49569	-7.54664	0.000544681
543	-7.53487	-7.54662	0.000544109
544	-7.57829	-7.54667	0.000546215
545	-7.5518	-7.54668	0.000545293
546	-7.55783	-7.5467	0.000544677
547	-7.54655	-7.5467	0.000543681
548	-7.53558	-7.54668	0.000543068
549	-7.53512	-7.54666	0.000542487
550	-7.54567	-7.54666	0.000541503
551	-7.55306	-7.54667	0.000540645
552	-7.54549	-7.54667	0.00053967
553	-7.53548	-7.54665	0.000539073
554	-7.55503	-7.54667	0.000538313
555	-7.57205	-7.54671	0.000539282
556	-7.53279	-7.54669	0.000538893
557	-7.53681	-7.54667	0.000538217
558	-7.56124	-7.54669	0.000537886
559	-7.5318	-7.54667	0.000537584
560	-7.52135	-7.54662	0.000538521
561	-7.56216	-7.54665	0.000538273
562	-7.55833	-7.54667	0.000537716
563	-7.55789	-7.54669	0.00053713
564	-7.54816	-7.54669	0.000536184
565	-7.54975	-7.5467	0.000535263
566	-7.53911	-7.54669	0.000534485
567	-7.55738	-7.5467	0.000533875
568	-7.54456	-7.5467	0.000532949
569	-7.5509	-7.54671	0.000532063
570	-7.55263	-7.54672	0.000531231
571	-7.54383	-7.54671	0.000530325
572	-7.53345	-7.54669	0.000529904
573	-7.55021	-7.5467	0.000529015
574	-7.54129	-7.54669	0.000528177
575	-7.55671	-7.5467	0.000527547
576	-7.55395	-7.54672	0.00052678
577	-7.55228	-7.54673	0.000525956
578	-7.54556	-7.54672	0.00052505
579	-7.52676	-7.54669	0.000525274
580	-7.54732	-7.54669	0.000524369
581	-7.56467	-7.54672	0.000524379
582	-7.49868	-7.54664	0.000529935
583	-7.53535	-7.54662	0.00052938
584	-7.56946	-7.54666	0.000529916
585	-7.55752	-7.54668	0.000529336
586	-7.5666	-7.54671	0.000529523
587	-7.52988	-7.54668	0.000529396
588	-7.56764	-7.54672	0.000529694
589	-7.56104	-7.54674	0.000529352
590	-7.55418	-7.54676	0.000528605
591	-7.53114	-7.54673	0.00052837
592	-7.5316	-7.5467	0.000528095
593	-7.52604	-7.54667	0.000528353
594	-7.55616	-7.54668	0.000527705
595	-7.56129	-7.54671	0.000527389
596	-7.55042	-7.54672	0.000526541
597	-7.54178	-7.54671	0.000525724
598	-7.53801	-7.54669	0.000525046
599	-7.5419	-7.54668	0.00052423
600	-7.5437	-7.54668	0.00052338
601	-7.51274	-7.54662	0.000525548
602	-7.54278	-7.54662	0.000524714
603	-7.51754	-7.54657	0.000526055
604	-7.55183	-7.54658	0.000525256
605	-7.56504	-7.54661	0.000525273
606	-7.54182	-7.5466	0.000524465
607	-7.53143	-7.54657	0.000524197
608	-7.52771	-7.54654	0.000524252
609	-7.54941	-7.54655	0.000523413
610	-7.54462	-7.54655	0.000522564
611	-7.5482	-7.54655	0.000521716
612	-7.57282	-7.54659	0.000522626
613	-7.55393	-7.5466	0.000521911
614	-7.55683	-7.54662	0.000521327
615	-7.56157	-7.54664	0.000521046
616	-7.54967	-7.54665	0.000520223
617	-7.5328	-7.54663	0.000519864
618	-7.56275	-7.54665	0.000519677
619	-7.55234	-7.54666	0.000518919
620	-7.55475	-7.54667	0.000518246
621	-7.55943	-7.5467	0.000517818
622	-7.51051	-7.54664	0.000520244
623	-7.56689	-7.54667	0.000520424
624	-7.54614	-7.54667	0.00051959
625	-7.56089	-7.54669	0.000519257
626	-7.55241	-7.5467	0.000518508
627	-7.54575	-7.5467	0.000517683
628	-7.57161	-7.54674	0.000518377
629	-7.53439	-7.54672	0.000517924
630	-7.55002	-7.54672	0.000517129
631	-7.55304	-7.54673	0.000516406
632	-7.55892	-7.54675	0.000515949
633	-7.52934	-7.54673	0.000515867
634	-7.54855	-7.54673	0.000515061
635	-7.55357	-7.54674	0.000514362
636	-7.57232	-7.54678	0.000515123
637	-7.55276	-7.54679	0.0005144
638	-7.55555	-7.5468	0.000513777
639	-7.57064	-7.54684	0.000514326
640	-7.57106	-7.54688	0.000514913
641	-7.56242	-7.5469	0.00051468
642	-7.53862	-7.54689	0.00051404
643	-7.54785	-7.54689	0.000513243
644	-7.54915	-7.54689	0.000512458
645	-7.55287	-7.5469	0.000511747
646	-7.55828	-7.54692	0.000511258
647	-7.53759	-7.54691	0.000510671
648	-7.52914	-7.54688	0.000510619
649	-7.53143	-7.54686	0.000510387
650	-7.55257	-7.54686	0.000509677
651	-7.55356	-7.54688	0.000508998
652	-7.55848	-7.54689	0.000508529
653	-7.54346	-7.54689	0.000507777
654	-7.52883	-7.54686	0.00050775
655	-7.54773	-7.54686	0.000506977
656	-7.55803	-7.54688	0.00050649
657	-7.5407	-7.54687	0.000505806
658	-7.54131	-7.54686	0.000505108
659	-7.54888	-7.54686	0.000504351
660	-7.56346	-7.54689	0.000504214
661	-7.53929	-7.54688	0.000503582
662	-7.53621	-7.54686	0.000503079
663	-7.54393	-7.54686	0.000502339
664	-7.5515	-7.54686	0.000501631
665	-7.53898	-7.54685	0.000501017
666	-7.54789	-7.54685	0.000500267
667	-7.54409	-7.54685	0.000499534
668	-7.5345	-7.54683	0.000499129
669	-7.53636	-7.54682	0.000498628
670	-7.55564	-7.54683	0.000498058
671	-7.53548	-7.54681	0.000497603
672	-7.53557	-7.54679	0.000497143
673	-7.55161	-7.5468	0.000496456
674	-7.56479	-7.54683	0.000496436
675	-7.53468	-7.54681	0.000496027
676	-7.54063	-7.5468	0.000495377
677	-7.5342	-7.54678	0.000494996
678	-7.53041	-7.54676	0.000494854
679	-7.53023	-7.54673	0.000494723
680	-7.56059	-7.54675	0.000494416
681	-7.54788	-7.54676	0.000493692
682	-7.56092	-7.54678	0.000493405
683	-7.54315	-7.54677	0.000492711
684	-7.56885	-7.5468	0.000493047
685	-7.53072	-7.54678	0.000492886
686	-7.54374	-7.54678	0.000492188
687	-7.53913	-7.54677	0.000491597
688	-7.55334	-7.54677	0.000490976
689	-7.54562	-7.54677	0.000490266
690	-7.52172	-7.54674	0.000490898
691	-7.52151	-7.5467	0.000491543
692	-7.56161	-7.54672	0.000491305
