BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
737	1.8603	1.86827	0.0015006
738	1.83853	1.86823	0.0014991
739	1.87747	1.86824	0.00149713
740	1.88438	1.86826	0.00149526
741	1.85642	1.86825	0.00149333
742	1.86022	1.86824	0.00149136
743	1.85141	1.86821	0.00148952
744	1.87917	1.86823	0.00148759
745	1.86924	1.86823	0.0014856
746	1.85585	1.86821	0.0014837
747	1.81714	1.86815	0.00148329
748	1.79239	1.86804	0.00148476
749	1.84505	1.86801	0.00148309
750	1.86835	1.86801	0.00148111
751	1.87488	1.86802	0.00147917
752	1.87464	1.86803	0.00147723
753	1.88668	1.86806	0.00147548
754	1.86255	1.86805	0.00147354
755	1.84441	1.86802	0.00147192
756	1.88551	1.86804	0.00147015
757	1.83607	1.868	0.00146882
758	1.81292	1.86793	0.00146868
759	1.81612	1.86786	0.00146833
760	1.88223	1.86788	0.00146652
761	1.89374	1.86791	0.00146498
762	1.88934	1.86794	0.00146333
763	1.87539	1.86795	0.00146144
764	1.83672	1.86791	0.0014601
765	1.82027	1.86785	0.00145952
766	1.85738	1.86783	0.00145768
767	1.85232	1.86781	0.00145592
768	1.84702	1.86779	0.00145428
769	1.81602	1.86772	0.00145394
770	1.79013	1.86762	0.00145554
