BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
547	1.65	1.65	1.00569e-08
548	1.65	1.65	1.01141e-08
549	1.65	1.65	1.01049e-08
550	1.65	1.65	1.00957e-08
551	1.65	1.65	1.00865e-08
552	1.65	1.65	1.0143e-08
553	1.65	1.65	1.01338e-08
554	1.65	1.65	1.01247e-08
555	1.65	1.65	1.01156e-08
556	1.65	1.65	1.01715e-08
557	1.65	1.65	1.01623e-08
558	1.65	1.65	1.01532e-08
559	1.65	1.65	1.01441e-08
560	1.65	1.65	1.01994e-08
561	1.65	1.65	1.01903e-08
562	1.65	1.65	1.01812e-08
563	1.65	1.65	1.01722e-08
564	1.65	1.65	1.02269e-08
565	1.65	1.65	1.02178e-08
566	1.65	1.65	1.02088e-08
567	1.65	1.65	1.01998e-08
568	1.65	1.65	1.01908e-08
569	1.65	1.65	1.02449e-08
570	1.65	1.65	1.02359e-08
571	1.65	1.65	1.02269e-08
572	1.65	1.65	1.0218e-08
573	1.65	1.65	1.02715e-08
574	1.65	1.65	1.02626e-08
575	1.65	1.65	1.02536e-08
576	1.65	1.65	1.02447e-08
577	1.65	1.65	1.02977e-08
578	1.65	1.65	1.02888e-08
579	1.65	1.65	1.02799e-08
580	1.65	1.65	1.0271e-08
581	1.65	1.65	1.02622e-08
582	1.65	1.65	1.03146e-08
583	1.65	1.65	1.03057e-08
584	1.65	1.65	1.02969e-08
585	1.65	1.65	1.02881e-08
586	1.65	1.65	1.034e-08
587	1.65	1.65	1.03312e-08
588	1.65	1.65	1.03224e-08
589	1.65	1.65	1.03136e-08
590	1.65	1.65	1.03049e-08
591	1.65	1.65	1.03562e-08
592	1.65	1.65	1.03474e-08
593	1.65	1.65	1.03387e-08
594	1.65	1.65	1.033e-08
595	1.65	1.65	1.03808e-08
596	1.65	1.65	1.03721e-08
597	1.65	1.65	1.03634e-08
598	1.65	1.65	1.03547e-08
599	1.65	1.65	1.03461e-08
600	1.65	1.65	1.03963e-08
601	1.65	1.65	1.03877e-08
602	1.65	1.65	1.03791e-08
603	1.65	1.65	1.03704e-08
604	1.65	1.65	1.03619e-08
605	1.65	1.65	1.04116e-08
606	1.65	1.65	1.0403e-08
607	1.65	1.65	1.03945e-08
608	1.65	1.65	1.03859e-08
609	1.65	1.65	1.03774e-08
610	1.65	1.65	1.04266e-08
611	1.65	1.65	1.04181e-08
612	1.65	1.65	1.04096e-08
613	1.65	1.65	1.04011e-08
614	1.65	1.65	1.03926e-08
615	1.65	1.65	1.04414e-08
616	1.65	1.65	1.04329e-08
617	1.65	1.65	1.04244e-08
618	1.65	1.65	1.0416e-08
619	1.65	1.65	1.04076e-08
620	1.65	1.65	1.04558e-08
621	1.65	1.65	1.04474e-08
622	1.65	1.65	1.03824e-08
623	1.65	1.65	1.03741e-08
624	1.65	1.65	1.0309e-08
625	1.65	1.65	1.02437e-08
626	1.65	1.65	1.02355e-08
627	1.65	1.65	1.017e-08
628	1.65	1.65	1.01044e-08
629	1.65	1.65	1.00963e-08
630	1.65	1.65	1.00305e-08
631	1.65	1.65	1.00225e-08
632	1.65	1.65	9.95656e-09
633	1.65	1.65	9.89034e-09
634	1.65	1.65	9.88254e-09
635	1.65	1.65	9.81615e-09
636	1.65	1.65	9.80843e-09
637	1.65	1.65	9.74187e-09
638	1.65	1.65	9.67506e-09
639	1.65	1.65	9.66749e-09
640	1.65	1.65	9.60049e-09
641	1.65	1.65	9.59299e-09
642	1.65	1.65	9.5258e-09
643	1.65	1.65	9.45834e-09
644	1.65	1.65	9.45099e-09
645	1.65	1.65	9.38332e-09
646	1.65	1.65	9.37606e-09
647	1.65	1.65	9.30817e-09
648	1.65	1.65	9.30098e-09
649	1.65	1.65	9.23287e-09
650	1.65	1.65	9.16447e-09
651	1.65	1.65	9.15743e-09
652	1.65	1.65	9.08879e-09
653	1.65	1.65	9.08182e-09
654	1.65	1.65	9.01294e-09
655	1.65	1.65	9.00605e-09
656	1.65	1.65	8.93691e-09
657	1.65	1.65	8.86744e-09
658	1.65	1.65	8.8607e-09
659	1.65	1.65	8.79096e-09
660	1.65	1.65	8.7843e-09
661	1.65	1.65	8.71427e-09
662	1.65	1.65	8.70769e-09
663	1.65	1.65	8.63738e-09
664	1.65	1.65	8.5667e-09
665	1.65	1.65	8.56026e-09
666	1.65	1.65	8.48928e-09
667	1.65	1.65	8.48291e-09
668	1.65	1.65	8.41161e-09
669	1.65	1.65	8.40532e-09
670	1.65	1.65	8.33368e-09
671	1.65	1.65	8.32747e-09
672	1.65	1.65	8.25549e-09
673	1.65	1.65	8.24936e-09
674	1.65	1.65	8.17703e-09
675	1.65	1.65	8.17097e-09
676	1.65	1.65	8.09827e-09
677	1.65	1.65	8.02513e-09
678	1.65	1.65	8.01921e-09
679	1.65	1.65	7.94569e-09
680	1.65	1.65	7.93984e-09
681	1.65	1.65	7.86591e-09
682	1.65	1.65	7.86014e-09
683	1.65	1.65	7.78579e-09
684	1.65	1.65	7.7801e-09
685	1.65	1.65	7.70531e-09
686	1.65	1.65	7.69969e-09
687	1.65	1.65	7.62446e-09
688	1.65	1.65	7.61892e-09
689	1.65	1.65	7.54322e-09
690	1.65	1.65	7.53775e-09
691	1.65	1.65	7.46157e-09
692	1.65	1.65	7.45618e-09
693	1.65	1.65	7.3795e-09
694	1.65	1.65	7.37418e-09
695	1.65	1.65	7.29698e-09
696	1.65	1.65	7.29174e-09
697	1.65	1.65	7.21401e-09
698	1.65	1.65	7.20884e-09
699	1.65	1.65	7.13055e-09
700	1.65	1.65	7.12545e-09
701	1.65	1.65	7.04659e-09
702	1.65	1.65	7.04156e-09
703	1.65	1.65	6.9621e-09
704	1.65	1.65	6.95715e-09
705	1.65	1.65	6.87706e-09
706	1.65	1.65	6.87219e-09
707	1.65	1.65	6.79144e-09
708	1.65	1.65	6.78665e-09
709	1.65	1.65	6.70523e-09
710	1.65	1.65	6.70051e-09
711	1.65	1.65	6.61839e-09
712	1.65	1.65	6.61374e-09
713	1.65	1.65	6.53089e-09
714	1.65	1.65	6.52631e-09
715	1.65	1.65	6.4427e-09
716	1.65	1.65	6.4382e-09
717	1.65	1.65	6.35379e-09
718	1.65	1.65	6.34936e-09
719	1.65	1.65	6.34494e-09
720	1.65	1.65	6.25977e-09
721	1.65	1.65	6.25543e-09
722	1.65	1.65	6.16938e-09
723	1.65	1.65	6.16511e-09
724	1.65	1.65	6.07816e-09
725	1.65	1.65	6.07397e-09
726	1.65	1.65	5.98607e-09
727	1.65	1.65	5.98195e-09
728	1.65	1.65	5.89305e-09
729	1.65	1.65	5.88901e-09
730	1.65	1.65	5.79906e-09
731	1.65	1.65	5.79509e-09
732	1.65	1.65	5.79113e-09
733	1.65	1.65	5.70016e-09
734	1.65	1.65	5.69628e-09
735	1.65	1.65	5.60415e-09
736	1.65	1.65	5.60034e-09
737	1.65	1.65	5.507e-09
738	1.65	1.65	5.50326e-09
739	1.65	1.65	5.40864e-09
740	1.65	1.65	5.40499e-09
741	1.65	1.65	5.40134e-09
742	1.65	1.65	5.30543e-09
743	1.65	1.65	5.30186e-09
744	1.65	1.65	5.20452e-09
745	1.65	1.65	5.20103e-09
746	1.65	1.65	5.10218e-09
747	1.65	1.65	5.09876e-09
748	1.65	1.65	4.9983e-09
749	1.65	1.65	4.99496e-09
750	1.65	1.65	4.99163e-09
751	1.65	1.65	4.88953e-09
752	1.65	1.65	4.88628e-09
753	1.65	1.65	4.78235e-09
754	1.65	1.65	4.77918e-09
755	1.65	1.65	4.60994e-09
756	1.65	1.65	4.54269e-09
757	1.65	1.65	4.53969e-09
758	1.65	1.65	4.36223e-09
759	1.65	1.65	4.29172e-09
760	1.65	1.65	4.17499e-09
761	1.65	1.65	4.10171e-09
762	1.65	1.65	3.90609e-09
763	1.65	1.65	3.90353e-09
764	1.65	1.65	3.82575e-09
765	1.65	1.65	3.61647e-09
766	1.65	1.65	3.61411e-09
767	1.65	1.65	3.3927e-09
768	1.65	1.65	3.30412e-09
769	1.65	1.65	3.30197e-09
